;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[2, 0, 1, 0, 3, 1, 2, 0];11691;332900;1331600;13395;23,97976857036208
1;[2, 0, 1, 0, 3, 1, 2, 0];11755;332900;1331600;13409;23,949958982772763
2;[2, 0, 1, 0, 3, 1, 2, 0];11724;332900;1331600;13434;23,907696888491888
3;[2, 0, 1, 0, 3, 1, 2, 0];11720;332900;1331600;13429;23,916896269268
4;[2, 0, 1, 0, 3, 1, 2, 0];11815;332900;1331600;13367;24,020722675245008
5;[2, 0, 1, 0, 3, 1, 2, 0];11917;332900;1331600;13373;24,002318103641667
6;[2, 0, 1, 0, 3, 1, 2, 0];11689;332900;1331600;13412;23,949522815389205
7;[2, 0, 1, 0, 3, 1, 2, 0];11688;332900;1331600;13418;23,93888806081383
8;[2, 0, 1, 0, 3, 1, 2, 0];11813;332900;1331600;13401;23,95992836355496
9;[2, 0, 1, 0, 3, 1, 2, 0];11869;332900;1331600;13374;24,00411245700613
