;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 3, 1, 3, 0];14258;166450;1331600;1350;112,7348148148148
1;[3, 0, 1, 0, 3, 1, 3, 0];14270;166450;1331600;1350;112,72592592592592
2;[3, 0, 1, 0, 3, 1, 3, 0];14352;166450;1331600;1350;112,66518518518518
3;[3, 0, 1, 0, 3, 1, 3, 0];14357;166450;1331600;1350;112,66148148148147
4;[3, 0, 1, 0, 3, 1, 3, 0];14266;166450;1331600;1350;112,72888888888887
5;[3, 0, 1, 0, 3, 1, 3, 0];14145;166450;1331600;1350;112,81851851851852
6;[3, 0, 1, 0, 3, 1, 3, 0];14316;166450;1331600;1350;112,69185185185184
7;[3, 0, 1, 0, 3, 1, 3, 0];14137;166450;1331600;1350;112,82444444444444
8;[3, 0, 1, 0, 3, 1, 3, 0];14027;166450;1331600;1350;112,90592592592591
9;[3, 0, 1, 0, 3, 1, 3, 0];14260;166450;1331600;1350;112,73333333333332
