;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 1, 4, 1, 3, 0];30829;166450;1331600;141;961,8510638297872
1;[3, 0, 1, 1, 4, 1, 3, 0];30943;166450;1331600;141;961,0425531914892
2;[3, 0, 1, 1, 4, 1, 3, 0];31361;166450;1331600;137;986,051094890511
3;[3, 0, 1, 1, 4, 1, 3, 0];31008;166450;1331600;141;960,581560283688
4;[3, 0, 1, 1, 4, 1, 3, 0];31015;166450;1331600;140;967,3928571428572
5;[3, 0, 1, 1, 4, 1, 3, 0];31049;166450;1331600;140;967,15
6;[3, 0, 1, 1, 4, 1, 3, 0];31375;166450;1331600;137;985,948905109489
7;[3, 0, 1, 1, 4, 1, 3, 0];31075;166450;1331600;138;980,9782608695652
8;[3, 0, 1, 1, 4, 1, 3, 0];31194;166450;1331600;140;966,1142857142858
9;[3, 0, 1, 1, 4, 1, 3, 0];31137;166450;1331600;138;980,5289855072464
