;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 3, 1, 3, 0];2388;41612;1331600;2058;19,059280855199223
1;[3, 0, 1, 0, 3, 1, 3, 0];2388;41612;1331600;2058;19,059280855199223
2;[3, 0, 1, 0, 3, 1, 3, 0];2388;41612;1331600;2058;19,059280855199223
3;[3, 0, 1, 0, 3, 1, 3, 0];2388;41612;1331600;2058;19,059280855199223
4;[3, 0, 1, 0, 3, 1, 3, 0];2388;41612;1331600;2058;19,059280855199223
5;[3, 0, 1, 0, 3, 1, 3, 0];2388;41612;1331600;2058;19,059280855199223
6;[3, 0, 1, 0, 3, 1, 3, 0];2388;41612;1331600;2058;19,059280855199223
7;[3, 0, 1, 0, 3, 1, 3, 0];2388;41612;1331600;2058;19,059280855199223
8;[3, 0, 1, 0, 3, 1, 3, 0];2388;41612;1331600;2058;19,059280855199223
9;[3, 0, 1, 0, 3, 1, 3, 0];2388;41612;1331600;2058;19,059280855199223
