;β1.0;β0.5;β0.25;β0.125;β0.0625;β0.03125;β0.015625
k5;[0.6647694934547523, 0.6647694934547523, 0.6647694934547523, 0.6647694934547523, 0.6647694934547523, 0.6647694934547523];[0.6986119493059747, 0.6989377112506037, 0.7015934331240947, 0.6975621530292059, 0.7000242895312121, 0.7008567636056473, 0.6985153256704981, 0.6962639495390587, 0.6963376182391463, 0.699490662139219];[0.697936660268714, 0.6965963157252654, 0.6979704575477362, 0.694589032804745, 0.6997607655502392, 0.6976127320954908, 0.6963414634146342, 0.6959232613908872, 0.6977138018628282, 0.6949825532426904];[0.693406989311877, 0.6966454250330648, 0.6964895173086301, 0.6929096514109556, 0.692985633224677, 0.695683979517191, 0.6933921784969964, 0.696073679108095, 0.6916794886968871, 0.6894222651067423];[0.6882273673894401, 0.6910058027079303, 0.6894566390788053, 0.6901561932437342, 0.6887724003413386, 0.6899488926746168, 0.6851807517356955, 0.6894865525672372, 0.6891385767790261, 0.6913761467889907];[0.6807550753888164, 0.6899104477611939, 0.6791489361702128, 0.680622009569378, 0.6857343804946665, 0.6870318352059924, 0.6869792906450846, 0.6797560975609755, 0.6841157401848961, 0.687402799377916];[0.6636155606407322, 0.6685951452647466, 0.671880819366853, 0.682932810201079, 0.6866485013623979, 0.6642644135188867, 0.6817724068479356, 0.673962840417409, 0.6677014925373135, 0.6759728227300802]
k10;[0.6677942212825934, 0.6677942212825934, 0.6677942212825934, 0.6677942212825934, 0.6677942212825934, 0.6677942212825934];[0.6972410454985479, 0.6979091564527757, 0.6992084432717678, 0.6967095851216023, 0.6987171801942214, 0.6990990990990991, 0.696189006292295, 0.6971401220533684, 0.6999641534233481, 0.6992923113829914];[0.696102021174206, 0.6980676328502415, 0.6984126984126984, 0.6964863892553065, 0.6968433591423466, 0.6978631968485137, 0.6960106705468656, 0.6972764521571463, 0.6929415979935507, 0.6978425937085693];[0.6957464754789734, 0.6927508401344213, 0.6950509461426493, 0.6935117696260007, 0.6900881323192081, 0.6901051105472997, 0.6926934097421203, 0.6931546194351365, 0.6941829592083032, 0.6962284612603928];[0.6850412821758135, 0.6862297053517739, 0.6870537839124227, 0.6856579109631274, 0.6881067961165048, 0.6876917413179532, 0.6940108892921961, 0.6928848015488867, 0.6867970660146698, 0.6897546897546898];[0.6819533961328705, 0.6785628164938509, 0.681963977300765, 0.6793550733422232, 0.6809390585086974, 0.6836220665929476, 0.683114306967518, 0.6750328672164455, 0.6784434836318716, 0.6668272125225768];[0.6680020030045067, 0.6762234305486902, 0.673505128846635, 0.6734945705824285, 0.6778037096179831, 0.6687237719081709, 0.6678779069767441, 0.6660129917882094, 0.6644390181210641, 0.6735063367531684]
k20;[0.6641145611796399, 0.6641145611796399, 0.6641145611796399, 0.6641145611796399, 0.6641145611796399, 0.6641145611796399];[0.6989966555183947, 0.6979117228286664, 0.6966399617362191, 0.696731090431878, 0.6968657599053815, 0.6984542211652794, 0.6975916478823111, 0.698927294398093, 0.6970349115255857, 0.6996558680431944];[0.6974910394265234, 0.6946818613485279, 0.6954627949183302, 0.6946136390779888, 0.6950726017614852, 0.6958707360861759, 0.6925380285064079, 0.6966836117162915, 0.6919553728714034, 0.6964307031156739];[0.6908171861836563, 0.6928870292887029, 0.6918541691733847, 0.6965293623153598, 0.6942697828923954, 0.6946336799330705, 0.6990360585505176, 0.6961418643661634, 0.6926470588235295, 0.6970278044103547];[0.6895099988305462, 0.6916656586427966, 0.688810764941205, 0.6921944035346097, 0.6874092009685231, 0.6921299112030166, 0.689407540394973, 0.6867771551210208, 0.6853500120279048, 0.6904527559055118];[0.6799852923152347, 0.6858657669598746, 0.686672136912437, 0.6897875915036602, 0.6828278003343682, 0.6791254427751313, 0.6782587548638133, 0.684619988031119, 0.6858507462686567, 0.6817686250757117];[0.6585456805469236, 0.6709878766054495, 0.6734815167003447, 0.6782172302545106, 0.6711343974655781, 0.6698239222829387, 0.6625478808847153, 0.6636629322942036, 0.6599204915070475, 0.6719806763285023]
k40;[0.6646875883517105, 0.6646875883517105, 0.6646875883517105, 0.6646875883517105, 0.6646875883517105, 0.6646875883517105];[0.6953626634958382, 0.6980885670188769, 0.6949152542372881, 0.6979402309798785, 0.6971764705882353, 0.6981086904476896, 0.6965078603144126, 0.6973606343946029, 0.6949212738250266, 0.697421339011119];[0.6914780135119118, 0.6944741532976827, 0.6963815001198179, 0.6941572493387834, 0.6945107398568018, 0.691906005221932, 0.6922435362802335, 0.6928368121442126, 0.6968197879858656, 0.6944815039417829];[0.6937747391147895, 0.6900485436893204, 0.6908747936807356, 0.6909912051343, 0.6939552594002856, 0.69301775147929, 0.6921706071046692, 0.6939408396946566, 0.6928834501603895, 0.6924560134972282];[0.6929782082324455, 0.6880889103648224, 0.6827716238510488, 0.6897058823529412, 0.6847176484937187, 0.6897630217731264, 0.6819997578985596, 0.6890162135803973, 0.6900120336943443, 0.6855489936121489];[0.6779823093473584, 0.6775673450182331, 0.685483870967742, 0.6782993364463014, 0.6823700825643516, 0.6843629343629344, 0.6862556968097866, 0.6803357314148682, 0.6870876531573986, 0.6835349296470007];[0.6669892343050683, 0.6696176072789868, 0.6754153623886348, 0.6771710368053885, 0.6711756025577964, 0.6738712776176754, 0.6693518857561334, 0.671990171990172, 0.6630259401762443, 0.6641194029850747]
k80;[0.6542635658914728, 0.6542635658914728, 0.6542635658914728, 0.6542635658914728, 0.6542635658914728, 0.6542635658914728];[0.6904539073467478, 0.6918048097128181, 0.6902364785764459, 0.6918687589158345, 0.6917520969245107, 0.6913727359389895, 0.692924363889857, 0.6925711586158025, 0.6937172774869109, 0.6900502747573951];[0.693872805487734, 0.6910299003322259, 0.6883963494132985, 0.6896470588235294, 0.6925925925925926, 0.688516914432869, 0.6868710784894045, 0.6927034611786715, 0.6890538470602097, 0.6928275044457617];[0.6895401477245652, 0.688755980861244, 0.6874704491725768, 0.6874557051736357, 0.6913494003958551, 0.6827225130890052, 0.6909941520467836, 0.6861039266400187, 0.6869806094182825, 0.6885751571953969];[0.6858596369522488, 0.68760489091345, 0.6791418355184744, 0.6793575252825699, 0.6832403589619209, 0.6883449883449884, 0.6822506754375661, 0.6790457163003878, 0.6782950497481882, 0.685322805387831];[0.6702836004932182, 0.6837483459641526, 0.6810876132930512, 0.6728707739427495, 0.6775472138027513, 0.6751980499695307, 0.6775005722133212, 0.6799808658215738, 0.6733632710943039, 0.6727672035139093];[0.6639791320844202, 0.6597264253722309, 0.6615326347683373, 0.6744915746658919, 0.6597626250872702, 0.6480096501809408, 0.6641817122888759, 0.6706259650789881, 0.6640168923115142, 0.6708951651507898]
k160;[0.6551724137931033, 0.6551724137931033, 0.6551724137931033, 0.6551724137931033, 0.6551724137931033, 0.6551724137931033];[0.6866873777470948, 0.6863013698630136, 0.6852681134458606, 0.6845067187320546, 0.6833409821018815, 0.6829938200961319, 0.6841138659320477, 0.6849252013808975, 0.6844393592677346, 0.684503127171647];[0.6827043666628663, 0.6837862736066328, 0.6859214218896166, 0.6837075417386298, 0.680505624492636, 0.6876652488791816, 0.6827475304387779, 0.6841134424717547, 0.6840398424832058, 0.6817551963048498];[0.6859513656793823, 0.6788421778084079, 0.680136262187243, 0.6806575725778244, 0.6851485148514852, 0.6824425718573242, 0.6813714285714286, 0.6842527812822572, 0.6839390386869871, 0.682570932252461];[0.6774231539276881, 0.6748981059697914, 0.6775244299674268, 0.6765807962529274, 0.6811559589204681, 0.6796604089441588, 0.679622948911905, 0.676559943912129, 0.6738696418085731, 0.6793288277790726];[0.6757486788021139, 0.6655159659721366, 0.6648384404435437, 0.6760789715335169, 0.6584381675765488, 0.6703542426738849, 0.6603705917513448, 0.6694088612057821, 0.6697819314641743, 0.6668983090108873];[0.663329758074127, 0.664024024024024, 0.6649746192893401, 0.659693505229871, 0.645919942986103, 0.66747220879652, 0.652235628105039, 0.6610898661567878, 0.6659705302239239, 0.668679063028254]
