;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[2, 0, 1, 0, 3, 1, 3, 0];25087;665800;1331600;7540;84,97519893899204
1;[2, 0, 1, 0, 3, 1, 3, 0];25113;665800;1331600;7516;85,24308142629059
2;[2, 0, 1, 0, 3, 1, 3, 0];24834;665800;1331600;7600;84,33763157894737
3;[2, 0, 1, 0, 3, 1, 3, 0];24724;665800;1331600;7583;84,54121060266385
4;[2, 0, 1, 0, 3, 1, 3, 0];25087;665800;1331600;7496;85,47398612593383
5;[2, 0, 1, 0, 3, 1, 3, 0];24919;665800;1331600;7539;85,00875447672105
6;[2, 0, 1, 0, 3, 1, 3, 0];24745;665800;1331600;7605;84,29388560157791
7;[2, 0, 1, 0, 3, 1, 3, 0];24960;665800;1331600;7566;84,69997356595294
8;[2, 0, 1, 0, 3, 1, 3, 0];24740;665800;1331600;7580;84,57255936675462
9;[2, 0, 1, 0, 3, 1, 3, 0];24782;665800;1331600;7551;84,89180241027678
