;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 4, 1, 3, 0];8234;83225;1331600;721;104,00970873786407
1;[3, 0, 1, 0, 4, 1, 3, 0];8234;83225;1331600;721;104,00970873786407
2;[3, 0, 1, 0, 4, 1, 3, 0];8234;83225;1331600;721;104,00970873786407
3;[3, 0, 1, 0, 4, 1, 3, 0];8234;83225;1331600;721;104,00970873786407
4;[3, 0, 1, 0, 4, 1, 3, 0];8234;83225;1331600;721;104,00970873786407
5;[3, 0, 1, 0, 4, 1, 3, 0];8234;83225;1331600;721;104,00970873786407
6;[3, 0, 1, 0, 4, 1, 3, 0];8234;83225;1331600;721;104,00970873786407
7;[3, 0, 1, 0, 4, 1, 3, 0];8234;83225;1331600;721;104,00970873786407
8;[3, 0, 1, 0, 4, 1, 3, 0];8234;83225;1331600;721;104,00970873786407
9;[3, 0, 1, 0, 4, 1, 3, 0];8234;83225;1331600;721;104,00970873786407
