;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 1, 4, 1, 3, 1];257;1250;40000;39;25,46153846153846
1;[4, 0, 1, 1, 4, 1, 3, 1];257;1250;40000;39;25,46153846153846
2;[4, 0, 1, 1, 4, 1, 3, 1];246;1250;40000;39;25,743589743589745
3;[4, 0, 1, 1, 4, 1, 3, 1];233;1250;40000;39;26,07692307692308
4;[4, 0, 1, 1, 4, 1, 3, 1];263;1250;40000;39;25,307692307692307
5;[4, 0, 1, 1, 4, 1, 3, 1];244;1250;40000;39;25,7948717948718
6;[4, 0, 1, 1, 4, 1, 3, 1];269;1250;40000;39;25,153846153846157
7;[4, 0, 1, 1, 4, 1, 3, 1];251;1250;40000;39;25,615384615384617
8;[4, 0, 1, 1, 4, 1, 3, 1];265;1250;40000;39;25,256410256410252
9;[4, 0, 1, 1, 4, 1, 3, 1];240;1250;40000;39;25,897435897435894
