;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 3, 1, 3, 0];1096;20806;1331600;1637;12,040317654245571
1;[3, 0, 1, 0, 3, 1, 3, 0];1163;20806;1331600;1673;11,74118350268978
2;[3, 0, 1, 0, 3, 1, 3, 0];1229;20806;1331600;1651;11,857662023016356
3;[3, 0, 1, 0, 3, 1, 3, 0];1172;20806;1331600;1645;11,935562310030395
4;[3, 0, 1, 0, 3, 1, 3, 0];1179;20806;1331600;1653;11,873563218390805
5;[3, 0, 1, 0, 3, 1, 3, 0];1198;20806;1331600;1685;11,63679525222552
6;[3, 0, 1, 0, 3, 1, 3, 0];1180;20806;1331600;1667;11,773245350929814
7;[3, 0, 1, 0, 3, 1, 3, 0];1208;20806;1331600;1646;11,90643985419198
8;[3, 0, 1, 0, 3, 1, 3, 0];1150;20806;1331600;1660;11,840963855421688
9;[3, 0, 1, 0, 3, 1, 3, 0];1114;20806;1331600;1680;11,721428571428572
