;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 1, 4, 1, 3, 0];433;2500;40000;73;28,315068493150687
1;[4, 0, 1, 1, 4, 1, 3, 0];433;2500;40000;73;28,315068493150687
2;[4, 0, 1, 1, 4, 1, 3, 0];433;2500;40000;73;28,315068493150687
3;[4, 0, 1, 1, 4, 1, 3, 0];433;2500;40000;73;28,315068493150687
4;[4, 0, 1, 1, 4, 1, 3, 0];433;2500;40000;73;28,315068493150687
5;[4, 0, 1, 1, 4, 1, 3, 0];433;2500;40000;73;28,315068493150687
6;[4, 0, 1, 1, 4, 1, 3, 0];433;2500;40000;73;28,315068493150687
7;[4, 0, 1, 1, 4, 1, 3, 0];433;2500;40000;73;28,315068493150687
8;[4, 0, 1, 1, 4, 1, 3, 0];433;2500;40000;73;28,315068493150687
9;[4, 0, 1, 1, 4, 1, 3, 0];433;2500;40000;73;28,315068493150687
