;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 1, 4, 1, 3, 0];139;625;40000;86;5,651162790697675
1;[3, 0, 1, 1, 4, 1, 3, 0];139;625;40000;86;5,651162790697675
2;[3, 0, 1, 1, 4, 1, 3, 0];140;625;40000;86;5,6395348837209305
3;[3, 0, 1, 1, 4, 1, 3, 0];139;625;40000;86;5,651162790697675
4;[3, 0, 1, 1, 4, 1, 3, 0];140;625;40000;86;5,6395348837209305
5;[3, 0, 1, 1, 4, 1, 3, 0];139;625;40000;86;5,651162790697675
6;[3, 0, 1, 1, 4, 1, 3, 0];139;625;40000;86;5,651162790697675
7;[3, 0, 1, 1, 4, 1, 3, 0];139;625;40000;86;5,651162790697675
8;[3, 0, 1, 1, 4, 1, 3, 0];139;625;40000;86;5,651162790697675
9;[3, 0, 1, 1, 4, 1, 3, 0];139;625;40000;86;5,651162790697675
