;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 1, 4, 1, 3, 0];354;2500;40000;83;25,85542168674699
1;[4, 0, 1, 1, 4, 1, 3, 0];389;2500;40000;74;28,527027027027028
2;[4, 0, 1, 1, 4, 1, 3, 0];397;2500;40000;81;25,96296296296296
3;[4, 0, 1, 1, 4, 1, 3, 0];328;2500;40000;85;25,55294117647059
4;[4, 0, 1, 1, 4, 1, 3, 0];342;2500;40000;80;26,975
5;[4, 0, 1, 1, 4, 1, 3, 0];320;2500;40000;81;26,91358024691358
6;[4, 0, 1, 1, 4, 1, 3, 0];365;2500;40000;83;25,72289156626506
7;[4, 0, 1, 1, 4, 1, 3, 0];377;2500;40000;77;27,571428571428573
8;[4, 0, 1, 0, 4, 1, 3, 1];424;2500;40000;101;20,554455445544555
9;[3, 0, 1, 1, 4, 1, 3, 1];480;2500;40000;84;24,047619047619047
