;β1.0;β0.5;β0.25;β0.125;β0.0625;β0.03125;β0.015625
k5;[0.6647694934547523, 0.6647694934547523, 0.6647694934547523, 0.6647694934547523, 0.6647694934547523, 0.6647694934547523];[0.6607879391267245, 0.6574831396183096, 0.6590487073275247, 0.6560982576406742, 0.6571059802093789, 0.6683551428169411, 0.6641264465142535, 0.663396860986547, 0.653596655614819, 0.6643971631205674];[0.6499927293878144, 0.6642458100558659, 0.6619187264348555, 0.663138838601866, 0.6579693703913785, 0.6441073512252041, 0.6681477367397946, 0.6494261223303792, 0.6642447953052955, 0.6673114119922631];[0.6654691170374465, 0.6710027100271002, 0.6531250000000001, 0.6503925767309066, 0.6497914569250682, 0.6609275201332964, 0.6615790203968362, 0.6496193075707514, 0.6650864472950362, 0.6416401963615361];[0.6589785831960461, 0.6287911149081589, 0.6559778852798894, 0.6332912634974057, 0.6343411294922989, 0.6365585250821781, 0.6490011098779134, 0.6500687757909217, 0.643057110862262, 0.6391985325243402];[0.6583739420364196, 0.6456480732956076, 0.645037645448323, 0.6568350859194666, 0.6495087864950879, 0.6302332115762856, 0.6073529411764705, 0.6260971328262142, 0.6357365075071013, 0.6284972598788579];[0.6219232970807097, 0.5721026245945149, 0.6128065395095368, 0.6172361322451239, 0.5734999228752122, 0.6192077181698582, 0.6261326329612606, 0.6078519181967458, 0.5842829658132308, 0.6399585116037858]
k10;[0.6677942212825934, 0.6677942212825934, 0.6677942212825934, 0.6677942212825934, 0.6677942212825934, 0.6677942212825934];[0.6679864253393665, 0.6588437321121924, 0.6642097802976612, 0.6583036350677122, 0.6594920361601379, 0.6653498871331828, 0.6534596612115992, 0.6648005598320503, 0.6623876765083441, 0.6533876126781041];[0.6621930325528269, 0.6504812526935785, 0.6607142857142858, 0.6490642680980705, 0.6536192257878831, 0.6578503095104109, 0.6571879936808847, 0.6517728452003458, 0.6552852468345427, 0.6488129704690214];[0.6438955539872971, 0.6526110025132645, 0.6437201461084574, 0.6489050076719207, 0.6359033704614495, 0.6598192276088742, 0.6390112231851115, 0.6612729234088457, 0.6594301221166892, 0.6509552363687072];[0.6232886795230385, 0.6541554959785523, 0.6295884315906563, 0.6468502863376058, 0.647066648929094, 0.6110778443113772, 0.622866159804906, 0.6322926967085747, 0.6262539409572944, 0.650388760060019];[0.6029130498749448, 0.628279480806407, 0.6507956715467854, 0.6324000557180667, 0.6125236088914717, 0.5750932140193885, 0.6373448461953588, 0.6393672662329378, 0.6535412937867553, 0.5947148817802503];[0.5849746764209343, 0.6531076301162203, 0.632169401206002, 0.6368743615934627, 0.6247329059829059, 0.6288673482937194, 0.6325136612021859, 0.5806353084911423, 0.6240304803374609, 0.6110083914094724]
k20;[0.6641145611796399, 0.6641145611796399, 0.6641145611796399, 0.6641145611796399, 0.6641145611796399, 0.6641145611796399];[0.6624454762909808, 0.6512909776617348, 0.664711632453568, 0.6534001431639227, 0.6564205688020683, 0.663943661971831, 0.6572036905606813, 0.6621811045696664, 0.6580148317170564, 0.6556158902543584];[0.6535211267605634, 0.6592224979321754, 0.6626439934174437, 0.661512976256212, 0.6604112046364013, 0.6537652503155237, 0.6638297872340426, 0.6485426008968611, 0.6675738195672881, 0.6479432624113475];[0.6616521155137676, 0.6568802304842914, 0.6405703900461346, 0.648436404431356, 0.6448162369720241, 0.6474799943843886, 0.6320509111946776, 0.6356367789834381, 0.6322153447531309, 0.6550182852498984];[0.5965522236708678, 0.6302097902097903, 0.6315045248868778, 0.6028680959818259, 0.6498974709501024, 0.6114864864864865, 0.5770964833183047, 0.6224350205198359, 0.6619492656875835, 0.634173206663913];[0.6107137644139542, 0.6527241241507927, 0.6046648085668183, 0.6567439409905164, 0.6570471527956712, 0.6144293317563571, 0.629654523457454, 0.5833587320938739, 0.6388092311894032, 0.6383445251473208];[0.591299287065328, 0.5671504965622612, 0.6179695286914424, 0.6285569748324269, 0.5825075398535113, 0.6291672383042941, 0.5923566878980892, 0.6188961128786832, 0.610419026047565, 0.5746268656716418]
k40;[0.6646875883517105, 0.6646875883517105, 0.6646875883517105, 0.6646875883517105, 0.6646875883517105, 0.6646875883517105];[0.6631939684715559, 0.6622825044526647, 0.6575, 0.6584684181106764, 0.6579465541490859, 0.6547921967769297, 0.6575380746122678, 0.6598337950138504, 0.6541448947888716, 0.6583333333333332];[0.650875963559916, 0.656353591160221, 0.6459230448673428, 0.6529387699440885, 0.6497618380498739, 0.6613140639636023, 0.6568653898030753, 0.6538775510204081, 0.6475709070485819, 0.6649698593436035];[0.6474920105599555, 0.6126731011330256, 0.6003440366972477, 0.6456297123708462, 0.6262773722627737, 0.6437886067261496, 0.6573539288112827, 0.5981008035062089, 0.6453674121405751, 0.6485965877820584];[0.6446212952799123, 0.611609814482346, 0.6440169190885524, 0.6110780226325194, 0.637045113806733, 0.6531692470557099, 0.640076231962973, 0.660540684511919, 0.6454007974700949, 0.6518716577540107];[0.6152321630804077, 0.6319702602230484, 0.6468480424684804, 0.6160217049835784, 0.642015440877692, 0.5883901155139641, 0.6345348994194681, 0.603268070072133, 0.6093704245973646, 0.6583739420364196];[0.6177428106348345, 0.6016688625384278, 0.608006448146158, 0.6357365075071013, 0.5957323268979533, 0.4942186983812355, 0.634968965921068, 0.6353062806926855, 0.606145251396648, 0.628804347826087]
k80;[0.6542635658914728, 0.6542635658914728, 0.6542635658914728, 0.6542635658914728, 0.6542635658914728, 0.6542635658914728];[0.6563186813186813, 0.6454405809244519, 0.6517132241640292, 0.6499860995273838, 0.6580051427798078, 0.6556791649498696, 0.6563015960374242, 0.6585431898185756, 0.6522104085058757, 0.6555037057370299];[0.6098846318188292, 0.6065408442587523, 0.6070763500931099, 0.6217573221757322, 0.6381823378108031, 0.601938937925047, 0.597744911407234, 0.609564596716631, 0.6581763988619428, 0.6073357975547342];[0.6574394463667821, 0.6370786516853932, 0.6600868535333596, 0.6434011909707796, 0.6337059329320722, 0.6518739006900284, 0.6564465408805031, 0.6617724174095437, 0.6208308952603863, 0.6457963089542036];[0.6325040562466198, 0.6364518364518366, 0.6508376203667062, 0.6493609171168796, 0.6539181599358118, 0.6260990928122818, 0.620072202166065, 0.6269574944071589, 0.6502845318158303, 0.6469738742286989];[0.6267587618316706, 0.6035784176684372, 0.6320263230052097, 0.5961457307638205, 0.6451534042293119, 0.6581409117821195, 0.6272174025637705, 0.6545024940929377, 0.6196908508564267, 0.6232256320129781];[0.6069400630914826, 0.5679324894514769, 0.6051136363636364, 0.5914997292907418, 0.5442491520197348, 0.4897755610972569, 0.587080250426864, 0.5834486576252422, 0.5455967464414203, 0.5422578655151141]
k160;[0.6551724137931033, 0.6551724137931033, 0.6551724137931033, 0.6551724137931033, 0.6551724137931033, 0.6551724137931033];[0.631532974232057, 0.5996457041629761, 0.6008242566970857, 0.6469847488456694, 0.6014482045219447, 0.6404987955221765, 0.6034133641886028, 0.6402640264026404, 0.6155162578436965, 0.6004977309325136];[0.648982957669049, 0.6498899889988999, 0.6417742841100507, 0.6492362735654328, 0.6336379211878926, 0.6670180524443273, 0.6513974096796183, 0.6449285416955738, 0.6308532031025568, 0.6528948083718401];[0.6551631888710541, 0.6229367015932251, 0.640495867768595, 0.6003638568829595, 0.65342521280908, 0.6299597469810235, 0.6645751633986928, 0.6065914489311164, 0.6475188781014023, 0.6369747899159663];[0.5628373168851195, 0.5900116144018585, 0.5822485207100592, 0.544356120826709, 0.6006244677831395, 0.5899113243203954, 0.592203241349102, 0.6404034896401309, 0.5859929078014185, 0.5929418488355479];[0.5919727698198837, 0.5987020010816658, 0.5848653270628473, 0.597261039686976, 0.6053315105946685, 0.6014739229024944, 0.5838761036329425, 0.5943115890759869, 0.5957217812457957, 0.5698817495369711];[0.5764576457645764, 0.5733276764248338, 0.6102185936265473, 0.6104262968669749, 0.5595839953777264, 0.6032154340836013, 0.5993875649048063, 0.6090981221898968, 0.46939121587247745, 0.4571029180499738]
