;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 4, 1, 3, 0];754;5000;40000;431;9,851508120649653
1;[3, 0, 1, 0, 4, 1, 3, 0];754;5000;40000;431;9,851508120649653
2;[3, 0, 1, 0, 4, 1, 3, 0];754;5000;40000;431;9,851508120649653
3;[3, 0, 1, 0, 4, 1, 3, 0];754;5000;40000;431;9,851508120649653
4;[3, 0, 1, 0, 4, 1, 3, 0];754;5000;40000;431;9,851508120649653
5;[3, 0, 1, 0, 4, 1, 3, 0];754;5000;40000;431;9,851508120649653
6;[3, 0, 1, 0, 4, 1, 3, 0];754;5000;40000;431;9,851508120649653
7;[3, 0, 1, 0, 4, 1, 3, 0];754;5000;40000;431;9,851508120649653
8;[3, 0, 1, 0, 4, 1, 3, 0];754;5000;40000;431;9,851508120649653
9;[3, 0, 1, 0, 4, 1, 3, 0];754;5000;40000;431;9,851508120649653
