;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 3, 1, 3, 0];7194;83225;1331600;1350;56,31925925925926
1;[3, 0, 1, 0, 3, 1, 3, 0];7194;83225;1331600;1350;56,31925925925926
2;[3, 0, 1, 0, 3, 1, 3, 0];7194;83225;1331600;1350;56,31925925925926
3;[3, 0, 1, 0, 3, 1, 3, 0];7194;83225;1331600;1350;56,31925925925926
4;[3, 0, 1, 0, 3, 1, 3, 0];7194;83225;1331600;1350;56,31925925925926
5;[3, 0, 1, 0, 3, 1, 3, 0];7194;83225;1331600;1350;56,31925925925926
6;[3, 0, 1, 0, 3, 1, 3, 0];7194;83225;1331600;1350;56,31925925925926
7;[3, 0, 1, 0, 3, 1, 3, 0];7194;83225;1331600;1350;56,31925925925926
8;[3, 0, 1, 0, 3, 1, 3, 0];7194;83225;1331600;1350;56,31925925925926
9;[3, 0, 1, 0, 3, 1, 3, 0];7194;83225;1331600;1350;56,31925925925926
