;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 1, 4, 1, 3, 0];305;2500;40000;198;11,085858585858588
1;[3, 0, 1, 1, 4, 1, 3, 0];305;2500;40000;198;11,085858585858588
2;[3, 0, 1, 1, 4, 1, 3, 0];305;2500;40000;198;11,085858585858588
3;[3, 0, 1, 1, 4, 1, 3, 0];305;2500;40000;198;11,085858585858588
4;[3, 0, 1, 1, 4, 1, 3, 0];305;2500;40000;198;11,085858585858588
5;[3, 0, 1, 1, 4, 1, 3, 0];305;2500;40000;198;11,085858585858588
6;[3, 0, 1, 1, 4, 1, 3, 0];305;2500;40000;198;11,085858585858588
7;[3, 0, 1, 1, 4, 1, 3, 0];305;2500;40000;198;11,085858585858588
8;[3, 0, 1, 1, 4, 1, 3, 0];305;2500;40000;198;11,085858585858588
9;[3, 0, 1, 1, 4, 1, 3, 0];305;2500;40000;198;11,085858585858588
