;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 1, 4, 1, 3, 0];2358;20806;1331600;244;75,60655737704919
1;[3, 0, 1, 1, 4, 1, 3, 0];2357;20806;1331600;254;72,63385826771653
2;[3, 0, 1, 1, 4, 1, 3, 0];2357;20806;1331600;245;75,30204081632652
3;[3, 0, 1, 1, 4, 1, 3, 0];2371;20806;1331600;249;74,03614457831326
4;[3, 0, 1, 1, 4, 1, 3, 0];2415;20806;1331600;237;77,59915611814345
5;[3, 0, 1, 1, 4, 1, 3, 0];2398;20806;1331600;248;74,2258064516129
6;[3, 0, 1, 1, 4, 1, 3, 0];2286;20806;1331600;254;72,91338582677166
7;[3, 0, 1, 1, 4, 1, 3, 0];2375;20806;1331600;254;72,56299212598425
8;[3, 0, 1, 1, 4, 1, 3, 0];2356;20806;1331600;248;74,39516129032258
9;[3, 0, 1, 1, 4, 1, 3, 0];2394;20806;1331600;239;77,0376569037657
