;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 1, 4, 1, 3, 0];1933;10000;40000;138;58,45652173913044
1;[3, 0, 1, 1, 4, 1, 3, 0];1873;10000;40000;138;58,891304347826086
2;[3, 0, 1, 1, 4, 1, 3, 0];1869;10000;40000;138;58,92028985507246
3;[3, 0, 1, 1, 4, 1, 3, 0];1907;10000;40000;138;58,64492753623188
4;[3, 0, 1, 1, 4, 1, 3, 0];1918;10000;40000;138;58,56521739130435
5;[3, 0, 1, 1, 4, 1, 3, 0];1872;10000;40000;138;58,89855072463768
6;[3, 0, 1, 1, 4, 1, 3, 0];1818;10000;40000;138;59,289855072463766
7;[3, 0, 1, 1, 4, 1, 3, 0];1833;10000;40000;138;59,18115942028985
8;[3, 0, 1, 1, 4, 1, 3, 0];1908;10000;40000;138;58,63768115942029
9;[3, 0, 1, 1, 4, 1, 3, 0];1834;10000;40000;138;59,17391304347826
