;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[2, 0, 1, 0, 3, 1, 2, 0];5901;166450;1331600;11480;13,985104529616724
1;[2, 0, 1, 0, 3, 1, 2, 0];6013;166450;1331600;11528;13,917158223455932
2;[2, 0, 1, 0, 3, 1, 2, 0];5917;166450;1331600;11511;13,946051602814698
3;[2, 0, 1, 0, 3, 1, 2, 0];6054;166450;1331600;11511;13,934149943532274
4;[2, 0, 1, 0, 3, 1, 2, 0];6010;166450;1331600;11518;13,929501649591945
5;[2, 0, 1, 0, 3, 1, 2, 0];5814;166450;1331600;11549;13,909083037492424
6;[2, 0, 1, 0, 3, 1, 2, 0];5902;166450;1331600;11486;13,977711997214
7;[2, 0, 1, 0, 3, 1, 2, 0];6022;166450;1331600;11525;13,92
8;[2, 0, 1, 0, 3, 1, 2, 0];5901;166450;1331600;11513;13,945018674541824
9;[2, 0, 1, 0, 3, 1, 2, 0];5966;166450;1331600;11527;13,92244296000694
