;β1.0;β0.5;β0.25;β0.125;β0.0625;β0.03125;β0.015625
k5;[0.3638269893734229, 0.3638269893734229, 0.3638269893734229, 0.3638269893734229, 0.3638269893734229, 0.3638269893734229];[0.32733200241762667, 0.3224348848315638, 0.3150323396030035, 0.32375528201359544, 0.3166870574277981, 0.3322144606731379, 0.32645677636267295, 0.3223954211678966, 0.32217187902899036, 0.3256359074843884];[0.32508096832628863, 0.32681364925441403, 0.3245454712238795, 0.3445436560979522, 0.33884000718261803, 0.32448983333638914, 0.33055328427364405, 0.3336172680645921, 0.3330734502202963, 0.334518153131914];[0.3536390600045631, 0.33140760119177387, 0.33104248644531886, 0.34212924088399765, 0.348, 0.3287561464214169, 0.3299512691832133, 0.33408667667106623, 0.32627778694082504, 0.32174856953618014];[0.2412325636377965, 0.277466220030863, 0.2425061713882685, 0.2648480662983425, 0.26658751890929283, 0.26337669304009653, 0.24739929605005861, 0.2673486525688984, 0.2508879874226044, 0.2730571514968249];[0.2713272389333536, 0.25157428282671224, 0.26450053705692805, 0.26181818181818184, 0.2545152183161233, 0.26627286585365856, 0.25080348273242564, 0.24884953690219608, 0.26618348273889, 0.2805937658340683];[0.27648141885544664, 0.29173814398760445, 0.2718398942698008, 0.26323856234194193, 0.2334827208445374, 0.2844422919305566, 0.26684656607502566, 0.26456458746377914, 0.23553207784301788, 0.2531060387171338]
k10;[0.32152588555858314, 0.32152588555858314, 0.32152588555858314, 0.32152588555858314, 0.32152588555858314, 0.32152588555858314];[0.3300808576360498, 0.32303226280590874, 0.3359133964817321, 0.3363234365129501, 0.32412996019006035, 0.32014176018901364, 0.3262730465320457, 0.3325828824576056, 0.3231867305187061, 0.3271850688483875];[0.2658261802575107, 0.2699508140465932, 0.25989224262788946, 0.2617002426716999, 0.24261416267565383, 0.24923834075462856, 0.26217372865019084, 0.252111937544909, 0.25961984237366714, 0.257427279607242];[0.24503818292467458, 0.2681702825958365, 0.24979080312141203, 0.2596358294351877, 0.24258059434018003, 0.2682261357348648, 0.2704099076852942, 0.25993044822256567, 0.242744997737423, 0.2653061224489796];[0.25172696405573114, 0.24883962319578543, 0.25509609784507864, 0.24921018033398087, 0.25519391252154044, 0.2725484261501211, 0.2663777232279841, 0.2608511294426027, 0.2603566265060241, 0.25204627199377855];[0.2625946626480743, 0.27569987959060804, 0.25670773110873996, 0.2661810137686411, 0.2652621133184481, 0.2646012141511409, 0.25240600038963573, 0.2511480663631212, 0.2911631001219647, 0.28916379871639847];[0.25257889508672726, 0.2481844870210136, 0.25213584556341967, 0.2251523722264271, 0.28254437869822485, 0.24902409476376364, 0.2635864922837456, 0.2516775297533214, 0.22929709873007723, 0.2648948874945501]
k20;[0.32471243314528536, 0.32471243314528536, 0.32471243314528536, 0.32471243314528536, 0.32471243314528536, 0.32471243314528536];[0.26004947433518866, 0.2635128643621621, 0.26486631837738167, 0.26710322247113566, 0.2579719696822843, 0.2572132642567476, 0.2692784527646913, 0.25631867065263814, 0.25392883473671957, 0.26693188990685307];[0.26923516199033004, 0.2701961531136926, 0.26021372632228695, 0.26579445687725944, 0.2703175508651835, 0.2507735720541014, 0.265893298110607, 0.26426530103381474, 0.26399155227032733, 0.2712579860054761];[0.26025809442856035, 0.2665874278703295, 0.2534927041291524, 0.2627524063862898, 0.270395561804157, 0.2584786728025059, 0.24887444701092273, 0.2672524114220227, 0.25474908129338336, 0.26855932688455153];[0.25554586844909427, 0.2622679936978827, 0.27462189327831305, 0.26076896378851566, 0.28563478518958224, 0.26127527216174184, 0.2702970674598635, 0.25406724511930584, 0.25107668323102406, 0.25613838205986494];[0.2539120392647483, 0.28291492586978223, 0.2595414017603146, 0.27885189608838457, 0.2529909260793342, 0.22517136936075238, 0.2509031198686371, 0.2613304860144527, 0.23411041978420102, 0.25038156140723705];[0.24822516684398882, 0.24591686663054418, 0.280228622163032, 0.26781979537618, 0.29925347750586295, 0.2511171202270679, 0.25246934932164955, 0.25712265683220914, 0.2636172589409114, 0.2627144260560719]
k40;[0.2645266698702547, 0.2645266698702547, 0.2645266698702547, 0.2645266698702547, 0.2645266698702547, 0.2645266698702547];[0.26112312683454353, 0.26348088724726343, 0.2640032237637442, 0.26758815555852533, 0.26838438782326557, 0.2580307668462045, 0.2665594301143218, 0.267533212271815, 0.2632014630859563, 0.26867267450740795];[0.25057036444825775, 0.26361923801468606, 0.2605761443831707, 0.2667151580115996, 0.25923776359063644, 0.2599042397096301, 0.25546283718222396, 0.26022161306513264, 0.2599417292145021, 0.26894893519578655];[0.25645502337581716, 0.2496093139553055, 0.2731463039890742, 0.2732369206210448, 0.26698677641858165, 0.2519949273241635, 0.2474291545647225, 0.2597517901603906, 0.25895178843153493, 0.2832540900752499];[0.24373487391677726, 0.25349832311784437, 0.24626342830453057, 0.26461152977354263, 0.24416881191980652, 0.24799362624123125, 0.2298873373532212, 0.2530566590812666, 0.2560694529809466, 0.25531833192535136];[0.24675828868700986, 0.2775558956365944, 0.25759342444805505, 0.2494256645881195, 0.22358937602038786, 0.2902754438518302, 0.24173804216042868, 0.24917689894255723, 0.227106953143582, 0.2914991647851387];[0.1946456180323867, 0.10847938315644873, 0.1862644363158111, 0.2050964572432799, 0.20967293248022892, 0.24082254379284082, 0.26506599992646246, 0.19275391817626703, 0.16978964299889288, 0.22286462097388518]
k80;[0.2634221410022122, 0.2634221410022122, 0.2634221410022122, 0.2634221410022122, 0.2634221410022122, 0.2634221410022122];[0.2565116279069768, 0.26378307842873866, 0.2567342351071664, 0.2610120481927711, 0.26801767484382144, 0.26449386503067485, 0.2709198247952771, 0.26003934729776645, 0.248160365389495, 0.26251394713554693];[0.2785349393956531, 0.26058857472590885, 0.25111354223646165, 0.25754168282279954, 0.2625758390292604, 0.25787511829576837, 0.2546281007789584, 0.2537954629395642, 0.2789716545814107, 0.25839523367378525];[0.27398135618703956, 0.27363081258806954, 0.2485744210403817, 0.25260678149378235, 0.25129613866749206, 0.25277375783888084, 0.2209206699428342, 0.2745694022289767, 0.27224420576596947, 0.2774642096213509];[0.23110091380196998, 0.2501014394744469, 0.2273973691531217, 0.2694112989877283, 0.2528373023506329, 0.23203764482581354, 0.2521157784905515, 0.24395767443676547, 0.24149839040093649, 0.2538705644773536];[0.20261398542432094, 0.1937981353871098, 0.17744870946393118, 0.1628586442459275, 0.23051791134223903, 0.2032003859761981, 0.20529629259518337, 0.21437329430842858, 0.18252499074416884, 0.171931210879827];[0.18261012491781722, 0.17109706826893195, 0.18032719668703107, 0.20270512539590843, 0.21740403192755797, 0.15464879538513746, 0.21614194865352906, 0.2012460935167307, 0.22028544688816096, 0.1169257911566876]
k160;[0.26097015500886867, 0.26097015500886867, 0.26097015500886867, 0.26097015500886867, 0.26097015500886867, 0.26097015500886867];[0.2583302713260748, 0.25262583549311146, 0.26337006181134104, 0.2549400209635467, 0.26050403964443414, 0.2581656953668029, 0.2614502347779232, 0.25366328916601716, 0.25984708063021317, 0.25276097560975613];[0.25031487976437305, 0.2536416184971098, 0.2553379756088177, 0.2587843527520478, 0.2767514552567054, 0.27151880833411896, 0.2500290641348576, 0.2703610094684824, 0.25135218667902953, 0.2505324298160697];[0.2763564223016601, 0.25233121609359616, 0.28782260593650266, 0.25598402979058293, 0.26077011056042704, 0.25319776976057723, 0.2542816456914136, 0.25547290933902245, 0.25533960051521615, 0.24985484807431782];[0.19817381115914506, 0.17166558976176086, 0.18158651870119197, 0.20122897149189078, 0.19230141901810474, 0.20175579896907214, 0.2052155103348822, 0.18390757423406046, 0.20394314166398972, 0.21567155332516696];[0.20780095481468275, 0.1605811749842072, 0.2308076730865337, 0.2314657070117341, 0.15661348757388927, 0.182444344225329, 0.2027985967150375, 0.17632825264202842, 0.20130299689285358, 0.23319106585771976];[0.0017340038148083927, 0.0003475152658491784, 0.19301897366103596, 0.1882118855704221, 0.20814301464797605, 0.1941941941941942, 0.18666234108558566, 0.2203494904878143, 0.2373151006647853, 0.029713460149289675]
