;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[2, 0, 1, 0, 3, 1, 3, 0];6962;166450;1331600;7251;21,995310991587367
1;[2, 0, 1, 0, 3, 1, 3, 0];6962;166450;1331600;7251;21,995310991587367
2;[2, 0, 1, 0, 3, 1, 3, 0];6962;166450;1331600;7251;21,995310991587367
3;[2, 0, 1, 0, 3, 1, 3, 0];6962;166450;1331600;7251;21,995310991587367
4;[2, 0, 1, 0, 3, 1, 3, 0];6962;166450;1331600;7251;21,995310991587367
5;[2, 0, 1, 0, 3, 1, 3, 0];6962;166450;1331600;7251;21,995310991587367
6;[2, 0, 1, 0, 3, 1, 3, 0];6962;166450;1331600;7251;21,995310991587367
7;[2, 0, 1, 0, 3, 1, 3, 0];6962;166450;1331600;7251;21,995310991587367
8;[2, 0, 1, 0, 3, 1, 3, 0];6962;166450;1331600;7251;21,995310991587367
9;[2, 0, 1, 0, 3, 1, 3, 0];6962;166450;1331600;7251;21,995310991587367
