;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 1, 4, 1, 3, 0];3721;20000;40000;138;117,96376811594205
1;[3, 0, 1, 1, 4, 1, 3, 0];3720;20000;40000;138;117,97101449275362
2;[3, 0, 1, 1, 4, 1, 3, 0];3807;20000;40000;138;117,34057971014492
3;[3, 0, 1, 1, 4, 1, 3, 0];3748;20000;40000;138;117,76811594202898
4;[3, 0, 1, 1, 4, 1, 3, 0];3762;20000;40000;138;117,66666666666669
5;[3, 0, 1, 1, 4, 1, 3, 0];3795;20000;40000;138;117,42753623188406
6;[3, 0, 1, 1, 4, 1, 3, 0];3737;20000;40000;138;117,84782608695652
7;[3, 0, 1, 1, 4, 1, 3, 0];3791;20000;40000;138;117,45652173913044
8;[3, 0, 1, 1, 4, 1, 3, 0];3757;20000;40000;138;117,70289855072464
9;[3, 0, 1, 1, 4, 1, 3, 0];3803;20000;40000;138;117,3695652173913
