;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 3, 1, 3, 0];4702;83225;1331600;2058;38,15500485908649
1;[3, 0, 1, 0, 3, 1, 3, 0];4702;83225;1331600;2058;38,15500485908649
2;[3, 0, 1, 0, 3, 1, 3, 0];4702;83225;1331600;2058;38,15500485908649
3;[3, 0, 1, 0, 3, 1, 3, 0];4702;83225;1331600;2058;38,15500485908649
4;[3, 0, 1, 0, 3, 1, 3, 0];4702;83225;1331600;2058;38,15500485908649
5;[3, 0, 1, 0, 3, 1, 3, 0];4702;83225;1331600;2058;38,15500485908649
6;[3, 0, 1, 0, 3, 1, 3, 0];4702;83225;1331600;2058;38,15500485908649
7;[3, 0, 1, 0, 3, 1, 3, 0];4702;83225;1331600;2058;38,15500485908649
8;[3, 0, 1, 0, 3, 1, 3, 0];4702;83225;1331600;2058;38,15500485908649
9;[3, 0, 1, 0, 3, 1, 3, 0];4702;83225;1331600;2058;38,15500485908649
