;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 1, 4, 1, 3, 0];3727;20000;40000;138;117,92028985507248
1;[3, 0, 1, 1, 4, 1, 3, 0];3727;20000;40000;138;117,92028985507248
2;[3, 0, 1, 1, 4, 1, 3, 0];3727;20000;40000;138;117,92028985507248
3;[3, 0, 1, 1, 4, 1, 3, 0];3727;20000;40000;138;117,92028985507248
4;[3, 0, 1, 1, 4, 1, 3, 0];3727;20000;40000;138;117,92028985507248
5;[3, 0, 1, 1, 4, 1, 3, 0];3727;20000;40000;138;117,92028985507248
6;[3, 0, 1, 1, 4, 1, 3, 0];3727;20000;40000;138;117,92028985507248
7;[3, 0, 1, 1, 4, 1, 3, 0];3727;20000;40000;138;117,92028985507248
8;[3, 0, 1, 1, 4, 1, 3, 0];3727;20000;40000;138;117,92028985507248
9;[3, 0, 1, 1, 4, 1, 3, 0];3727;20000;40000;138;117,92028985507248
