;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 3, 1, 3, 0];59;625;40000;259;2,1853281853281854
1;[3, 0, 1, 0, 3, 1, 3, 0];75;625;40000;260;2,1153846153846154
2;[3, 0, 1, 0, 3, 1, 3, 0];93;625;40000;253;2,102766798418972
3;[3, 0, 1, 0, 3, 1, 3, 0];74;625;40000;258;2,135658914728682
4;[3, 0, 1, 0, 3, 1, 3, 0];64;625;40000;242;2,3181818181818183
5;[3, 0, 1, 0, 3, 1, 3, 0];78;625;40000;273;2,003663003663004
6;[3, 0, 1, 0, 3, 1, 3, 0];68;625;40000;252;2,2103174603174605
7;[3, 0, 1, 0, 3, 1, 3, 0];67;625;40000;248;2,25
8;[3, 0, 1, 0, 3, 1, 3, 0];67;625;40000;262;2,1297709923664123
9;[3, 0, 1, 0, 3, 1, 3, 0];65;625;40000;254;2,204724409448819
