;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 4, 1, 3, 0];2838;20000;40000;467;36,74946466809422
1;[3, 0, 1, 0, 4, 1, 3, 0];2838;20000;40000;467;36,74946466809422
2;[3, 0, 1, 0, 4, 1, 3, 0];2838;20000;40000;467;36,74946466809422
3;[3, 0, 1, 0, 4, 1, 3, 0];2838;20000;40000;467;36,74946466809422
4;[3, 0, 1, 0, 4, 1, 3, 0];2838;20000;40000;467;36,74946466809422
5;[3, 0, 1, 0, 4, 1, 3, 0];2838;20000;40000;467;36,74946466809422
6;[3, 0, 1, 0, 4, 1, 3, 0];2838;20000;40000;467;36,74946466809422
7;[3, 0, 1, 0, 4, 1, 3, 0];2838;20000;40000;467;36,74946466809422
8;[3, 0, 1, 0, 4, 1, 3, 0];2838;20000;40000;467;36,74946466809422
9;[3, 0, 1, 0, 4, 1, 3, 0];2838;20000;40000;467;36,74946466809422
