;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 0, 4, 1, 3, 0];11836;83225;1331600;470;151,89148936170213
1;[3, 0, 1, 0, 4, 1, 3, 0];11710;83225;1331600;470;152,1595744680851
2;[3, 0, 1, 0, 4, 1, 3, 0];11752;83225;1331600;481;148,59251559251558
3;[3, 0, 1, 0, 4, 1, 3, 0];11701;83225;1331600;475;150,57684210526315
4;[3, 0, 1, 0, 4, 1, 3, 0];11670;83225;1331600;473;151,27906976744185
5;[3, 0, 1, 0, 4, 1, 3, 0];11552;83225;1331600;478;149,94351464435147
6;[3, 0, 1, 0, 4, 1, 3, 0];11816;83225;1331600;472;151,29025423728814
7;[3, 0, 1, 0, 4, 1, 3, 0];11509;83225;1331600;471;152,2632696390658
8;[3, 0, 1, 0, 4, 1, 3, 0];11830;83225;1331600;472;151,260593220339
9;[3, 0, 1, 0, 4, 1, 3, 0];11685;83225;1331600;475;150,61052631578949
