;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[2, 0, 1, 0, 3, 1, 3, 0];13617;332900;1331600;7251;44,03296097090057
1;[2, 0, 1, 0, 3, 1, 3, 0];13617;332900;1331600;7251;44,03296097090057
2;[2, 0, 1, 0, 3, 1, 3, 0];13617;332900;1331600;7251;44,03296097090057
3;[2, 0, 1, 0, 3, 1, 3, 0];13617;332900;1331600;7251;44,03296097090057
4;[2, 0, 1, 0, 3, 1, 3, 0];13617;332900;1331600;7251;44,03296097090057
5;[2, 0, 1, 0, 3, 1, 3, 0];13617;332900;1331600;7251;44,03296097090057
6;[2, 0, 1, 0, 3, 1, 3, 0];13617;332900;1331600;7251;44,03296097090057
7;[2, 0, 1, 0, 3, 1, 3, 0];13617;332900;1331600;7251;44,03296097090057
8;[2, 0, 1, 0, 3, 1, 3, 0];13617;332900;1331600;7251;44,03296097090057
9;[2, 0, 1, 0, 3, 1, 3, 0];13617;332900;1331600;7251;44,03296097090057
