;β1.0;β0.5;β0.25;β0.125;β0.0625;β0.03125;β0.015625
k5;[0.7011673412608627, 0.7011673412608627, 0.7011673412608627, 0.7011673412608627, 0.7011673412608627, 0.7011673412608627];[0.700860648693516, 0.7016960230605507, 0.7013446834155712, 0.7015157029841318, 0.7022195104623318, 0.7021050606762622, 0.7016800755240314, 0.7013376065336452, 0.70205718343393, 0.7019671720335797];[0.7027196155242112, 0.7014343884578649, 0.7009680046343327, 0.7013367100496445, 0.7023332331228913, 0.7029263201836777, 0.7018261516969072, 0.7026370995658358, 0.7010083829425344, 0.7020519035479962];[0.7011029273057301, 0.702022757591091, 0.7013610084272838, 0.701920661765937, 0.7022968382435893, 0.7025145486985377, 0.7022978524431381, 0.7002903700227521, 0.7009567874071186, 0.7013360137370692];[0.7016312341222088, 0.7013376065336452, 0.6995716101231304, 0.7035000269775589, 0.7023711739958888, 0.7028076476004382, 0.7023218735261342, 0.7010049307153086, 0.7019392388550212, 0.7005469615113586];[0.6994033112026221, 0.6987806056227396, 0.69896170470663, 0.6988853202342717, 0.6987005442812583, 0.7026572331627363, 0.701344698238328, 0.6994588658398058, 0.7009406584609227, 0.6993485738765944];[0.7013466596089644, 0.699390195480174, 0.6965149311779228, 0.6987517488540541, 0.7029601083220499, 0.6995704730674437, 0.6995442298491678, 0.7039445131049762, 0.6987323050031303, 0.6979432119254114]
k10;[0.6993875714741822, 0.6993875714741822, 0.6993875714741822, 0.6993875714741822, 0.6993875714741822, 0.6993875714741822];[0.6989527165859307, 0.6987847834474976, 0.6989618802425048, 0.6994156409300012, 0.6993304803689208, 0.6988712081269693, 0.6990968835420112, 0.6990097942014677, 0.6990966756334894, 0.6999909070619064];[0.6996144930769899, 0.7008961047549764, 0.7007445684474675, 0.7001995743517975, 0.6992445703493863, 0.701367242260815, 0.6998992908918351, 0.7006379440164823, 0.6991176129107164, 0.6989642665736043];[0.7004175408540345, 0.6987203152545889, 0.7005338100329864, 0.6981145416959558, 0.6987712743877128, 0.7003715937241948, 0.6995166921366183, 0.6999900970489206, 0.7003081408833373, 0.6988260777552315];[0.7019336459332507, 0.6974341484109522, 0.6998844227558751, 0.6976933491706191, 0.6998135642374778, 0.6983539026294371, 0.6999561218322861, 0.699747958630451, 0.6990482278276101, 0.6997247691210849];[0.6976529875218969, 0.6994039595007694, 0.6987125173076526, 0.697231184812786, 0.702827523521753, 0.6987584332056956, 0.6978562850862431, 0.6983793305442807, 0.6969308077567313, 0.6992252420601782];[0.6953484203637395, 0.6984262686963595, 0.6998606151080028, 0.6981725118954444, 0.698006309773542, 0.6990425206737878, 0.6973121538474313, 0.6990935311083643, 0.6954970462160649, 0.6970746328221458]
k20;[0.6990039013862372, 0.6990039013862372, 0.6990039013862372, 0.6990039013862372, 0.6990039013862372, 0.6990039013862372];[0.6990462118256452, 0.6990187199321994, 0.6995477846412272, 0.6996690099711264, 0.6993157218098122, 0.69951285330552, 0.6996879131627701, 0.7004272108055797, 0.6992527632838629, 0.6996904537253149];[0.6996650755339541, 0.6991782912938697, 0.6992352348032483, 0.6989462683967604, 0.70031381401868, 0.7006101080056064, 0.699908107257871, 0.6991849696125496, 0.6990995476990746, 0.6999466295969914];[0.6999842711325612, 0.6988231380213749, 0.6981308995436645, 0.7001091414208228, 0.6995300503044743, 0.7011839562187578, 0.7002017896425677, 0.6991793649937114, 0.6978592253227822, 0.6997807953523643];[0.6991706833883863, 0.6987933859675257, 0.7006563593329836, 0.6979777238504138, 0.7002564102564103, 0.6981533825598625, 0.7007930368305003, 0.6992068485892172, 0.6993140495867768, 0.70139297545318];[0.6987685127231578, 0.7001373705467676, 0.699950458261085, 0.6979998258193747, 0.697131842201469, 0.69927785562087, 0.6980382717535203, 0.6979816117179577, 0.6947865797763295, 0.699069406105886];[0.6999108576968422, 0.6956782238569367, 0.6980284698392725, 0.6947532849398144, 0.7007626001503025, 0.6973257882506387, 0.697808687607893, 0.6961677693171888, 0.6992240647134976, 0.69821946546723]
k40;[0.6666247073336522, 0.6666247073336522, 0.6666247073336522, 0.6666247073336522, 0.6666247073336522, 0.6666247073336522];[0.6655112212072152, 0.6668681196462821, 0.664613510220658, 0.6665095709182106, 0.665677555321391, 0.6675580630152949, 0.6643197051788113, 0.6669240809679897, 0.6671524166059479, 0.666804071674939];[0.6670818325647153, 0.6666778263689814, 0.6670583643543913, 0.6629755374162378, 0.6662902838460145, 0.6670531011366213, 0.6656007539929649, 0.6643245511062894, 0.6673880402962664, 0.6671390952852183];[0.6667674299485268, 0.6652455618559742, 0.6667677482394959, 0.6670407342891599, 0.6663412417206002, 0.6660302614868331, 0.6662985335092504, 0.6670271267142809, 0.6648527230345411, 0.663166665249662];[0.6675199196938327, 0.6627356482348733, 0.6679401812029254, 0.6682672233820459, 0.6645601970168672, 0.6661858791873848, 0.6672612318385464, 0.6675175387405694, 0.6678627607241654, 0.6700590966300752];[0.6603980366821464, 0.6672719513317659, 0.6604835418933623, 0.6671495561882431, 0.6689058702094363, 0.6676825449839268, 0.6657169229991107, 0.6632135351433969, 0.6620736495808128, 0.6679510056708722];[0.6667420113686784, 0.6582787603774558, 0.6606841207231817, 0.6666889021375237, 0.6564952574584112, 0.6659076163167919, 0.6610981987216734, 0.6649090340625818, 0.6627259138469902, 0.6676882753654134]
k80;[0.6664621462041143, 0.6664621462041143, 0.6664621462041143, 0.6664621462041143, 0.6664621462041143, 0.6664621462041143];[0.6658171847665186, 0.6672561180020115, 0.6675216039293588, 0.6662466133198917, 0.6672068652806233, 0.6656906423670272, 0.6653238380177826, 0.6657131438907936, 0.6673053972736288, 0.6666499027693957];[0.6660551153601771, 0.6637209045920812, 0.6665884059550811, 0.664622004724941, 0.6661178684228212, 0.6646089321958244, 0.6660270087153396, 0.6652951789960035, 0.6668316125839756, 0.6673451950140732];[0.6659330466312505, 0.6647290178401692, 0.6683094011107219, 0.6651484480431848, 0.6671109490458407, 0.6644363969823432, 0.662419567903865, 0.6667114105220769, 0.6639147498507615, 0.6660883194823374];[0.6667560142062589, 0.6661620240959779, 0.6662702666488007, 0.6644433064301101, 0.6672088129511481, 0.6667981668317413, 0.6604804521902968, 0.6684567457864934, 0.6679107748957329, 0.6653500701108719];[0.6637553850296176, 0.6668203054618591, 0.6652810668279001, 0.6644514918781598, 0.6659075630252101, 0.6676421404682273, 0.6632920630340883, 0.666520793270748, 0.6665350709566868, 0.6671719159555494];[0.6679359353341017, 0.6620787609272755, 0.6647916825026816, 0.6631559261809434, 0.6657423503047312, 0.6644261169549998, 0.6652819040905047, 0.664384337516205, 0.6687986257619599, 0.6584890214684616]
k160;[0.6637400338858445, 0.6637400338858445, 0.6637400338858445, 0.6637400338858445, 0.6637400338858445, 0.6637400338858445];[0.6628549663549029, 0.6619370889746496, 0.6636330958069905, 0.6635514018691588, 0.66221795568846, 0.664369737964347, 0.6635665081326269, 0.6632308076384393, 0.6628989277195718, 0.6629818317560373];[0.6637003608582849, 0.663281197102038, 0.6643392320308975, 0.6640086097317086, 0.6632581487522289, 0.6611019645644775, 0.6636530475892457, 0.6632239901976995, 0.6627421916357861, 0.6649386774560627];[0.6657776435856146, 0.6645272312915678, 0.6624548736462095, 0.6649101836731258, 0.6637219712005404, 0.6619815677975087, 0.6655108140784524, 0.658936949675429, 0.6634026098336772, 0.6642251690835524];[0.6629243019104715, 0.6608726725117092, 0.6610506590575159, 0.6639087694364076, 0.6641934980142903, 0.663068371835088, 0.662561273209549, 0.6613760447344531, 0.6626769332418491, 0.6610836392962498];[0.6612721769143576, 0.6658168169925353, 0.6649492130442287, 0.6614037763991999, 0.6651956692269294, 0.663313989882755, 0.6649442514391782, 0.6581352519715123, 0.6640455233408585, 0.6660094306378266];[0.6570555053180037, 0.6622022548105452, 0.6590288678086398, 0.6534493345210195, 0.657810447133178, 0.6646863047877912, 0.6637624959081408, 0.6639693499494779, 0.6601595956683599, 0.6658036064779627]
