;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 1, 4, 1, 3, 0];789;5000;40000;78;53,98717948717949
1;[4, 0, 1, 1, 4, 1, 3, 0];839;5000;40000;74;56,229729729729726
2;[4, 0, 1, 1, 4, 1, 3, 0];826;5000;40000;73;57,17808219178082
3;[4, 0, 1, 1, 4, 1, 3, 0];843;5000;40000;73;56,945205479452056
4;[4, 0, 1, 1, 4, 1, 3, 0];777;5000;40000;76;55,56578947368421
5;[4, 0, 1, 1, 4, 1, 3, 0];822;5000;40000;76;54,97368421052632
6;[4, 0, 1, 1, 4, 1, 3, 0];829;5000;40000;74;56,36486486486486
7;[4, 0, 1, 1, 4, 1, 3, 0];811;5000;40000;76;55,11842105263158
8;[4, 0, 1, 1, 4, 1, 3, 0];749;5000;40000;76;55,93421052631579
9;[4, 0, 1, 1, 4, 1, 3, 0];834;5000;40000;72;57,86111111111112
