;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[2, 0, 1, 0, 3, 1, 3, 0];1005;20806;1331600;2017;9,817055032226078
1;[2, 0, 1, 0, 3, 1, 3, 0];1005;20806;1331600;2017;9,817055032226078
2;[2, 0, 1, 0, 3, 1, 3, 0];1005;20806;1331600;2017;9,817055032226078
3;[2, 0, 1, 0, 3, 1, 3, 0];1005;20806;1331600;2017;9,817055032226078
4;[2, 0, 1, 0, 3, 1, 3, 0];1005;20806;1331600;2017;9,817055032226078
5;[2, 0, 1, 0, 3, 1, 3, 0];1005;20806;1331600;2017;9,817055032226078
6;[2, 0, 1, 0, 3, 1, 3, 0];1005;20806;1331600;2017;9,817055032226078
7;[2, 0, 1, 0, 3, 1, 3, 0];1005;20806;1331600;2017;9,817055032226078
8;[2, 0, 1, 0, 3, 1, 3, 0];1005;20806;1331600;2017;9,817055032226078
9;[2, 0, 1, 0, 3, 1, 3, 0];1005;20806;1331600;2017;9,817055032226078
