;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 1, 4, 1, 3, 0];3692;20000;40000;138;118,17391304347828
1;[3, 0, 1, 1, 4, 1, 3, 0];3692;20000;40000;138;118,17391304347828
2;[3, 0, 1, 1, 4, 1, 3, 0];3692;20000;40000;138;118,17391304347828
3;[3, 0, 1, 1, 4, 1, 3, 0];3692;20000;40000;138;118,17391304347828
4;[3, 0, 1, 1, 4, 1, 3, 0];3692;20000;40000;138;118,17391304347828
5;[3, 0, 1, 1, 4, 1, 3, 0];3692;20000;40000;138;118,17391304347828
6;[3, 0, 1, 1, 4, 1, 3, 0];3692;20000;40000;138;118,17391304347828
7;[3, 0, 1, 1, 4, 1, 3, 0];3692;20000;40000;138;118,17391304347828
8;[3, 0, 1, 1, 4, 1, 3, 0];3692;20000;40000;138;118,17391304347828
9;[3, 0, 1, 1, 4, 1, 3, 0];3692;20000;40000;138;118,17391304347828
