;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 2, 4, 0, 3, 1];1474;5000;40000;14;251,8571428571429
1;[4, 0, 1, 2, 4, 0, 3, 1];1460;5000;40000;15;236,0
2;[4, 0, 1, 2, 4, 0, 3, 1];1391;5000;40000;15;240,6
3;[4, 0, 1, 2, 4, 0, 3, 1];1359;5000;40000;15;242,7333333333333
4;[4, 0, 1, 2, 4, 0, 3, 1];1376;5000;40000;15;241,6
5;[4, 0, 1, 2, 4, 0, 3, 1];1426;5000;40000;15;238,26666666666668
6;[4, 0, 1, 2, 4, 0, 3, 1];1511;5000;40000;14;249,2142857142857
7;[4, 0, 1, 2, 4, 0, 3, 1];1441;5000;40000;15;237,26666666666668
8;[4, 0, 1, 2, 4, 0, 3, 1];1445;5000;40000;15;237,0
9;[4, 0, 1, 2, 4, 0, 3, 1];1445;5000;40000;15;237,0
