;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[2, 0, 1, 0, 3, 1, 3, 0];3044;41612;1331600;2959;13,03413315309226
1;[2, 0, 1, 0, 3, 1, 3, 0];3044;41612;1331600;2959;13,03413315309226
2;[2, 0, 1, 0, 3, 1, 3, 0];3044;41612;1331600;2959;13,03413315309226
3;[2, 0, 1, 0, 3, 1, 3, 0];3044;41612;1331600;2959;13,03413315309226
4;[2, 0, 1, 0, 3, 1, 3, 0];3044;41612;1331600;2959;13,03413315309226
5;[2, 0, 1, 0, 3, 1, 3, 0];3044;41612;1331600;2959;13,03413315309226
6;[2, 0, 1, 0, 3, 1, 3, 0];3044;41612;1331600;2959;13,03413315309226
7;[2, 0, 1, 0, 3, 1, 3, 0];3044;41612;1331600;2959;13,03413315309226
8;[2, 0, 1, 0, 3, 1, 3, 0];3044;41612;1331600;2959;13,03413315309226
9;[2, 0, 1, 0, 3, 1, 3, 0];3044;41612;1331600;2959;13,03413315309226
