;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 1, 4, 1, 3, 1];143;625;40000;38;12,68421052631579
1;[4, 0, 1, 1, 4, 1, 3, 1];130;625;40000;39;12,692307692307692
2;[4, 0, 1, 1, 4, 1, 3, 1];138;625;40000;38;12,81578947368421
3;[4, 0, 1, 1, 4, 1, 3, 1];112;625;40000;39;13,153846153846152
4;[4, 0, 1, 1, 4, 1, 3, 1];131;625;40000;39;12,666666666666666
5;[4, 0, 1, 1, 4, 1, 3, 1];147;625;40000;38;12,578947368421051
6;[4, 0, 1, 1, 4, 1, 3, 1];133;625;40000;39;12,615384615384617
7;[4, 0, 1, 1, 4, 1, 3, 1];147;625;40000;37;12,91891891891892
8;[4, 0, 1, 1, 4, 1, 3, 1];138;625;40000;38;12,81578947368421
9;[4, 0, 1, 1, 4, 1, 3, 1];117;625;40000;39;13,025641025641026
