;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 2, 5, 0, 4, 2];170;625;40000;2;227,5
1;[4, 0, 1, 1, 5, 0, 4, 2];213;625;40000;2;206,0
2;[4, 0, 1, 2, 5, 0, 4, 2];149;625;40000;2;238,0
3;[4, 0, 1, 2, 5, 0, 4, 2];150;625;40000;2;237,5
4;[4, 0, 1, 2, 5, 0, 4, 2];151;625;40000;2;237,0
5;[4, 0, 1, 2, 5, 0, 4, 2];173;625;40000;2;226,0
6;[4, 0, 1, 2, 5, 0, 4, 2];165;625;40000;2;230,0
7;[4, 0, 1, 2, 5, 0, 4, 2];169;625;40000;2;228,0
8;[4, 0, 1, 1, 5, 0, 4, 2];204;625;40000;2;210,5
9;[4, 0, 1, 2, 5, 0, 4, 2];165;625;40000;2;230,0
