;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[3, 0, 1, 1, 4, 1, 3, 0];69;625;40000;132;4,212121212121212
1;[3, 0, 1, 1, 4, 1, 3, 0];87;625;40000;136;3,9558823529411766
2;[3, 0, 1, 1, 4, 1, 3, 0];80;625;40000;148;3,682432432432433
3;[3, 0, 1, 1, 4, 1, 3, 0];88;625;40000;138;3,891304347826087
4;[3, 0, 1, 1, 4, 1, 3, 0];68;625;40000;150;3,713333333333333
5;[3, 0, 1, 1, 4, 1, 3, 0];74;625;40000;142;3,880281690140845
6;[3, 0, 1, 1, 4, 1, 3, 0];88;625;40000;142;3,7816901408450714
7;[3, 0, 1, 1, 4, 1, 3, 0];77;625;40000;136;4,029411764705882
8;[3, 0, 1, 1, 4, 1, 3, 0];81;625;40000;138;3,942028985507247
9;[3, 0, 1, 1, 4, 1, 3, 0];79;625;40000;142;3,845070422535212
